Nr obwodu,Kandydat,Liczba głosów
71,HINC Przemysław Jakub,18
71,JAŚKOWIAK Jacek,482
71,LEWANDOWSKI Tomasz Jacek,88
71,PUCEK Jarosław,82
71,ZYSK Tadeusz,222
72,BONK-HAMMERMEISTER Dorota Magdalena,16
72,BRATKOWSKI Wojciech,9
72,HINC Przemysław Jakub,19
72,JAŚKOWIAK Jacek,295
72,LEWANDOWSKI Tomasz Jacek,49
72,PUCEK Jarosław,48
72,ZYSK Tadeusz,152
73,BONK-HAMMERMEISTER Dorota Magdalena,31
73,BRATKOWSKI Wojciech,13
73,HINC Przemysław Jakub,11
73,JAŚKOWIAK Jacek,427
73,LEWANDOWSKI Tomasz Jacek,67
73,PUCEK Jarosław,55
73,ZYSK Tadeusz,141
74,BONK-HAMMERMEISTER Dorota Magdalena,11
74,BRATKOWSKI Wojciech,7
74,HINC Przemysław Jakub,11
74,JAŚKOWIAK Jacek,278
74,LEWANDOWSKI Tomasz Jacek,41
74,PUCEK Jarosław,33
74,ZYSK Tadeusz,150
75,BONK-HAMMERMEISTER Dorota Magdalena,18
75,BRATKOWSKI Wojciech,17
75,HINC Przemysław Jakub,22
75,JAŚKOWIAK Jacek,332
75,LEWANDOWSKI Tomasz Jacek,58
75,PUCEK Jarosław,73
75,ZYSK Tadeusz,194
76,BONK-HAMMERMEISTER Dorota Magdalena,43
76,BRATKOWSKI Wojciech,14
76,HINC Przemysław Jakub,17
76,JAŚKOWIAK Jacek,411
76,LEWANDOWSKI Tomasz Jacek,61
76,PUCEK Jarosław,48
76,ZYSK Tadeusz,163
77,BONK-HAMMERMEISTER Dorota Magdalena,21
77,BRATKOWSKI Wojciech,11
77,HINC Przemysław Jakub,12
77,JAŚKOWIAK Jacek,363
77,LEWANDOWSKI Tomasz Jacek,78
77,PUCEK Jarosław,65
77,ZYSK Tadeusz,161
78,BONK-HAMMERMEISTER Dorota Magdalena,30
78,BRATKOWSKI Wojciech,6
78,HINC Przemysław Jakub,29
78,JAŚKOWIAK Jacek,330
78,LEWANDOWSKI Tomasz Jacek,66
78,PUCEK Jarosław,61
78,ZYSK Tadeusz,181
79,BONK-HAMMERMEISTER Dorota Magdalena,22
79,BRATKOWSKI Wojciech,16
79,HINC Przemysław Jakub,23
79,JAŚKOWIAK Jacek,420
