Nr okręgu,Nr obwodu,Komitet wyborczy,Kandydat,Liczba głosów
1,6,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOWALCZYK Mirosław Zbigniew,4
1,6,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KULECZKA Agnieszka Marzena,4
1,6,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKI Piotr Zbigniew,2
1,6,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Elżbieta Anna,2
1,6,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRZESZCZYŃSKA Magdalena,1
1,6,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŚKOWIAK Wojciech Tadeusz,7
1,6,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KACZMAREK Bartosz Piotr,2
1,6,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WOŹNIAK Mariusz Roman,9
1,6,KWW JAROSŁAWA PUCKA DOBRO MIASTA,BABICZ Adam Franciszek,30
1,6,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RÓŻYCKA Aleksandra,3
1,6,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JAKUBOWSKA Hanna Maria,0
1,6,KWW JAROSŁAWA PUCKA DOBRO MIASTA,CHODOROWSKA Anna Barbara,4
1,6,KWW LEWICA,KRETKOWSKA Katarzyna Maria,55
1,6,KWW LEWICA,SZLINDER Maciej Karol,4
1,6,KWW LEWICA,ŁAZARZ Maria,7
1,6,KWW LEWICA,KRZYWOSZ Marian,0
1,6,KWW LEWICA,CZUBAŁA Małgorzata Maria,2
1,6,KWW LEWICA,MAJEWSKI Dawid,0
1,6,KWW LEWICA,ROHDE Wojciech Marian,6
1,6,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BONK-HAMMERMEISTER Dorota Magdalena,102
1,6,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KLUK Arkadiusz,11
1,6,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOŁTYSIAK-ŁUCZAK Aleksandra Marta,4
1,6,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,JANOWSKI Andrzej Piotr,0
1,6,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ŁODZIAK Dorota,3
1,6,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SCHMIDT Filip Maria,3
1,6,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,GARCZARCZYK Magdalena Anna,6
1,7,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KIERZEK-KOPERSKA Katarzyna Renata,101
1,7,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MIKUŁA Łukasz Michał,85
1,7,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KUCHARCZYK Jakub Piotr,19
1,7,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,OLSZAK Filip Marian,22
1,7,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,URBAŃSKA Wiesława Danuta,14
1,7,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MAZUREK Marta,36
1,7,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,MICHALAK-PIETKIEWICZ Agnieszka Małgorzata,15
1,7,KWW KUKIZ'15,TAMUĆ Wojciech,10
1,7,KWW KUKIZ'15,BEDNARZ Artur Wojciech,4
1,7,KWW KUKIZ'15,FRANKOWSKI Mariusz Piotr,3
1,7,KWW KUKIZ'15,MICHALCZEWSKA Karolina Anna,6
1,7,KWW KUKIZ'15,FOREMSKA Patrycja Joanna,5
