Nr okręgu,Nr obwodu,Kandydat,Liczba głosów
2,46,HINC Przemysław Jakub,17
2,46,JAŚKOWIAK Jacek,718
2,46,LEWANDOWSKI Tomasz Jacek,93
2,46,PUCEK Jarosław,68
2,46,ZYSK Tadeusz,265
2,47,BONK-HAMMERMEISTER Dorota Magdalena,28
2,47,BRATKOWSKI Wojciech,14
2,47,HINC Przemysław Jakub,37
2,47,JAŚKOWIAK Jacek,639
2,47,LEWANDOWSKI Tomasz Jacek,92
2,47,PUCEK Jarosław,76
2,47,ZYSK Tadeusz,225
2,48,BONK-HAMMERMEISTER Dorota Magdalena,37
2,48,BRATKOWSKI Wojciech,17
2,48,HINC Przemysław Jakub,17
2,48,JAŚKOWIAK Jacek,475
2,48,LEWANDOWSKI Tomasz Jacek,73
2,48,PUCEK Jarosław,70
2,48,ZYSK Tadeusz,203
2,49,BONK-HAMMERMEISTER Dorota Magdalena,28
2,49,BRATKOWSKI Wojciech,14
2,49,HINC Przemysław Jakub,28
2,49,JAŚKOWIAK Jacek,654
2,49,LEWANDOWSKI Tomasz Jacek,100
2,49,PUCEK Jarosław,86
2,49,ZYSK Tadeusz,180
2,50,BONK-HAMMERMEISTER Dorota Magdalena,30
2,50,BRATKOWSKI Wojciech,14
2,50,HINC Przemysław Jakub,24
2,50,JAŚKOWIAK Jacek,666
2,50,LEWANDOWSKI Tomasz Jacek,91
2,50,PUCEK Jarosław,110
2,50,ZYSK Tadeusz,214
2,51,BONK-HAMMERMEISTER Dorota Magdalena,41
2,51,BRATKOWSKI Wojciech,14
2,51,HINC Przemysław Jakub,32
2,51,JAŚKOWIAK Jacek,608
2,51,LEWANDOWSKI Tomasz Jacek,81
2,51,PUCEK Jarosław,72
2,51,ZYSK Tadeusz,251
2,52,BONK-HAMMERMEISTER Dorota Magdalena,28
2,52,BRATKOWSKI Wojciech,23
2,52,HINC Przemysław Jakub,24
2,52,JAŚKOWIAK Jacek,609
2,52,LEWANDOWSKI Tomasz Jacek,86
2,52,PUCEK Jarosław,74
2,52,ZYSK Tadeusz,239
2,53,BONK-HAMMERMEISTER Dorota Magdalena,40
2,53,BRATKOWSKI Wojciech,23
2,53,HINC Przemysław Jakub,32
2,53,JAŚKOWIAK Jacek,758
2,53,LEWANDOWSKI Tomasz Jacek,121
2,53,PUCEK Jarosław,85
2,53,ZYSK Tadeusz,259
2,54,BONK-HAMMERMEISTER Dorota Magdalena,40
2,54,BRATKOWSKI Wojciech,16
2,54,HINC Przemysław Jakub,17
2,54,JAŚKOWIAK Jacek,653
2,54,LEWANDOWSKI Tomasz Jacek,91
2,54,PUCEK Jarosław,86
2,54,ZYSK Tadeusz,219
2,55,BONK-HAMMERMEISTER Dorota Magdalena,23
2,55,BRATKOWSKI Wojciech,15
2,55,HINC Przemysław Jakub,19
2,55,JAŚKOWIAK Jacek,621
2,55,LEWANDOWSKI Tomasz Jacek,58
2,55,PUCEK Jarosław,82
2,55,ZYSK Tadeusz,259
2,56,BONK-HAMMERMEISTER Dorota Magdalena,15
2,56,BRATKOWSKI Wojciech,14
2,56,HINC Przemysław Jakub,15
2,56,JAŚKOWIAK Jacek,534
2,56,LEWANDOWSKI Tomasz Jacek,96
2,56,PUCEK Jarosław,72
2,56,ZYSK Tadeusz,229
2,57,BONK-HAMMERMEISTER Dorota Magdalena,31
2,57,BRATKOWSKI Wojciech,11
2,57,HINC Przemysław Jakub,25
2,57,JAŚKOWIAK Jacek,650
2,57,LEWANDOWSKI Tomasz Jacek,82
2,57,PUCEK Jarosław,73
2,57,ZYSK Tadeusz,249
2,58,BONK-HAMMERMEISTER Dorota Magdalena,18
2,58,BRATKOWSKI Wojciech,18
2,58,HINC Przemysław Jakub,18
2,58,JAŚKOWIAK Jacek,484
2,58,LEWANDOWSKI Tomasz Jacek,62
2,58,PUCEK Jarosław,90
2,58,ZYSK Tadeusz,214
2,59,BONK-HAMMERMEISTER Dorota Magdalena,31
2,59,BRATKOWSKI Wojciech,11
2,59,HINC Przemysław Jakub,22
2,59,JAŚKOWIAK Jacek,544
2,59,LEWANDOWSKI Tomasz Jacek,70
2,59,PUCEK Jarosław,67
2,59,ZYSK Tadeusz,214
2,60,BONK-HAMMERMEISTER Dorota Magdalena,24
2,60,BRATKOWSKI Wojciech,11
2,60,HINC Przemysław Jakub,22
2,60,JAŚKOWIAK Jacek,543
2,60,LEWANDOWSKI Tomasz Jacek,69
2,60,PUCEK Jarosław,70
2,60,ZYSK Tadeusz,236
2,61,BONK-HAMMERMEISTER Dorota Magdalena,26
